,País,Apellido,y,c
5292,México,Abarca,0.0,Mexico
5290,Guatemala,Abarca,0.0,Guatemala
5289,El Salvador,Abarca,0.0,El Salvador
5291,Honduras,Abarca,0.0,Honduras
5293,Nicaragua,Abarca,0.0,Nicaragua
5286,Costa Rica,Abarca,0.06603773584905662,Costa Rica
5294,Panamá,Abarca,0.0,Panama
5285,Colombia,Abarca,0.0,Colombia
5300,Venezuela,Abarca,0.0,Venezuela
5288,Ecuador,Abarca,0.0,Ecuador
5296,Perú,Abarca,0.0,Peru
5283,Bolivia,Abarca,0.0,Bolivia
5284,Chile,Abarca,0.0,Chile
5282,Argentina,Abarca,0.0,Argentina
5295,Paraguay,Abarca,0.0,Paraguay
5299,Uruguay,Abarca,0.0,Uruguay
5287,Cuba,Abarca,0.0,Cuba
5298,República Dominicana,Abarca,0.0,Dominicana
5297,Puerto Rico,Abarca,0.0,Puerto Rico
8864,México,Abrego,0.0,Mexico
8862,Guatemala,Abrego,0.0,Guatemala
8861,El Salvador,Abrego,0.0,El Salvador
8863,Honduras,Abrego,0.0,Honduras
8865,Nicaragua,Abrego,0.0,Nicaragua
8858,Costa Rica,Abrego,0.0,Costa Rica
8866,Panamá,Abrego,0.22580645161290325,Panama
8857,Colombia,Abrego,0.0,Colombia
8872,Venezuela,Abrego,0.0,Venezuela
8860,Ecuador,Abrego,0.0,Ecuador
8868,Perú,Abrego,0.0,Peru
8855,Bolivia,Abrego,0.0,Bolivia
8856,Chile,Abrego,0.0,Chile
8854,Argentina,Abrego,0.0,Argentina
8867,Paraguay,Abrego,0.0,Paraguay
8871,Uruguay,Abrego,0.0,Uruguay
8859,Cuba,Abrego,0.0,Cuba
8870,República Dominicana,Abrego,0.0,Dominicana
8869,Puerto Rico,Abrego,0.0,Puerto Rico
5824,México,Abreu,0.0,Mexico
5822,Guatemala,Abreu,0.0,Guatemala
5821,El Salvador,Abreu,0.0,El Salvador
5823,Honduras,Abreu,0.0,Honduras
5825,Nicaragua,Abreu,0.0,Nicaragua
5818,Costa Rica,Abreu,0.0,Costa Rica
5826,Panamá,Abreu,0.0,Panama
5817,Colombia,Abreu,0.0,Colombia
5832,Venezuela,Abreu,0.0,Venezuela
5820,Ecuador,Abreu,0.0,Ecuador
5828,Perú,Abreu,0.0,Peru
5815,Bolivia,Abreu,0.0,Bolivia
5816,Chile,Abreu,0.0,Chile
5814,Argentina,Abreu,0.0,Argentina
5827,Paraguay,Abreu,0.0,Paraguay
5831,Uruguay,Abreu,0.0,Uruguay
5819,Cuba,Abreu,0.04320987654320988,Cuba
5830,República Dominicana,Abreu,0.12280701754385964,Dominicana
5829,Puerto Rico,Abreu,0.05915492957746479,Puerto Rico
3848,México,Acevedo,0.0,Mexico
3846,Guatemala,Acevedo,0.0,Guatemala
3845,El Salvador,Acevedo,0.0,El Salvador
3847,Honduras,Acevedo,0.0,Honduras
3849,Nicaragua,Acevedo,0.0,Nicaragua
3842,Costa Rica,Acevedo,0.0,Costa Rica
3850,Panamá,Acevedo,0.0,Panama
3841,Colombia,Acevedo,0.04038461538461539,Colombia
3856,Venezuela,Acevedo,0.0,Venezuela
3844,Ecuador,Acevedo,0.0,Ecuador
3852,Perú,Acevedo,0.0,Peru
3839,Bolivia,Acevedo,0.0,Bolivia
3840,Chile,Acevedo,0.0455531453362256,Chile
3838,Argentina,Acevedo,0.0,Argentina
3851,Paraguay,Acevedo,0.0,Paraguay
3855,Uruguay,Acevedo,0.0,Uruguay
3843,Cuba,Acevedo,0.0,Cuba
3854,República Dominicana,Acevedo,0.03860294117647059,Dominicana
3853,Puerto Rico,Acevedo,0.13815789473684212,Puerto Rico
352,México,Acosta,0.04015296367112811,Mexico
350,Guatemala,Acosta,0.0,Guatemala
349,El Salvador,Acosta,0.0,El Salvador
351,Honduras,Acosta,0.061946902654867256,Honduras
353,Nicaragua,Acosta,0.0,Nicaragua
346,Costa Rica,Acosta,0.0,Costa Rica
354,Panamá,Acosta,0.06818181818181819,Panama
345,Colombia,Acosta,0.06603773584905662,Colombia
360,Venezuela,Acosta,0.06885245901639345,Venezuela
348,Ecuador,Acosta,0.035653650254668934,Ecuador
356,Perú,Acosta,0.0,Peru
343,Bolivia,Acosta,0.0,Bolivia
344,Chile,Acosta,0.0,Chile
342,Argentina,Acosta,0.07777777777777778,Argentina
355,Paraguay,Acosta,0.20792079207920794,Paraguay
359,Uruguay,Acosta,0.11731843575418996,Uruguay
347,Cuba,Acosta,0.12426035502958581,Cuba
358,República Dominicana,Acosta,0.08677685950413223,Dominicana
357,Puerto Rico,Acosta,0.0,Puerto Rico
1644,México,Acuña,0.0,Mexico
1642,Guatemala,Acuña,0.0,Guatemala
1641,El Salvador,Acuña,0.0,El Salvador
1643,Honduras,Acuña,0.0,Honduras
1645,Nicaragua,Acuña,0.0,Nicaragua
1638,Costa Rica,Acuña,0.06666666666666667,Costa Rica
1646,Panamá,Acuña,0.0,Panama
1637,Colombia,Acuña,0.0,Colombia
1652,Venezuela,Acuña,0.0,Venezuela
1640,Ecuador,Acuña,0.0,Ecuador
1648,Perú,Acuña,0.0,Peru
1635,Bolivia,Acuña,0.0,Bolivia
1636,Chile,Acuña,0.04477611940298508,Chile
1634,Argentina,Acuña,0.031531531531531536,Argentina
1647,Paraguay,Acuña,0.054263565891472874,Paraguay
1651,Uruguay,Acuña,0.0,Uruguay
1639,Cuba,Acuña,0.0,Cuba
1650,República Dominicana,Acuña,0.0,Dominicana
1649,Puerto Rico,Acuña,0.0,Puerto Rico
10270,México,Agosto,0.0,Mexico
10268,Guatemala,Agosto,0.0,Guatemala
10267,El Salvador,Agosto,0.0,El Salvador
10269,Honduras,Agosto,0.0,Honduras
10271,Nicaragua,Agosto,0.0,Nicaragua
10264,Costa Rica,Agosto,0.0,Costa Rica
10272,Panamá,Agosto,0.0,Panama
10263,Colombia,Agosto,0.0,Colombia
10278,Venezuela,Agosto,0.0,Venezuela
10266,Ecuador,Agosto,0.0,Ecuador
10274,Perú,Agosto,0.0,Peru
10261,Bolivia,Agosto,0.0,Bolivia
10262,Chile,Agosto,0.0,Chile
10260,Argentina,Agosto,0.0,Argentina
10273,Paraguay,Agosto,0.0,Paraguay
10277,Uruguay,Agosto,0.0,Uruguay
10265,Cuba,Agosto,0.0,Cuba
10276,República Dominicana,Agosto,0.0,Dominicana
10275,Puerto Rico,Agosto,0.2837837837837838,Puerto Rico
4228,México,Agudelo,0.0,Mexico
4226,Guatemala,Agudelo,0.0,Guatemala
4225,El Salvador,Agudelo,0.0,El Salvador
4227,Honduras,Agudelo,0.0,Honduras
4229,Nicaragua,Agudelo,0.0,Nicaragua
4222,Costa Rica,Agudelo,0.0,Costa Rica
4230,Panamá,Agudelo,0.0,Panama
4221,Colombia,Agudelo,0.05722070844686648,Colombia
4236,Venezuela,Agudelo,0.0,Venezuela
4224,Ecuador,Agudelo,0.0,Ecuador
4232,Perú,Agudelo,0.0,Peru
4219,Bolivia,Agudelo,0.0,Bolivia
4220,Chile,Agudelo,0.0,Chile
4218,Argentina,Agudelo,0.0,Argentina
4231,Paraguay,Agudelo,0.0,Paraguay
4235,Uruguay,Agudelo,0.0,Uruguay
4223,Cuba,Agudelo,0.0,Cuba
4234,República Dominicana,Agudelo,0.0,Dominicana
4233,Puerto Rico,Agudelo,0.0,Puerto Rico
1378,México,Aguero,0.0,Mexico
1376,Guatemala,Aguero,0.0,Guatemala
1375,El Salvador,Aguero,0.0,El Salvador
1377,Honduras,Aguero,0.0,Honduras
1379,Nicaragua,Aguero,0.0,Nicaragua
1372,Costa Rica,Aguero,0.0,Costa Rica
1380,Panamá,Aguero,0.0,Panama
1371,Colombia,Aguero,0.0,Colombia
1386,Venezuela,Aguero,0.0,Venezuela
1374,Ecuador,Aguero,0.0,Ecuador
1382,Perú,Aguero,0.0,Peru
1369,Bolivia,Aguero,0.0,Bolivia
1370,Chile,Aguero,0.0,Chile
1368,Argentina,Aguero,0.03535353535353535,Argentina
1381,Paraguay,Aguero,0.08235294117647059,Paraguay
1385,Uruguay,Aguero,0.0,Uruguay
1373,Cuba,Aguero,0.0,Cuba
1384,República Dominicana,Aguero,0.0,Dominicana
1383,Puerto Rico,Aguero,0.0,Puerto Rico
2081,México,Aguilar,0.12804878048780488,Mexico
2079,Guatemala,Aguilar,0.11797752808988764,Guatemala
2078,El Salvador,Aguilar,0.16279069767441862,El Salvador
2080,Honduras,Aguilar,0.20192307692307696,Honduras
2082,Nicaragua,Aguilar,0.10994764397905761,Nicaragua
2075,Costa Rica,Aguilar,0.14685314685314685,Costa Rica
2083,Panamá,Aguilar,0.10396039603960397,Panama
2074,Colombia,Aguilar,0.0,Colombia
2089,Venezuela,Aguilar,0.04233870967741936,Venezuela
2077,Ecuador,Aguilar,0.04430379746835443,Ecuador
2085,Perú,Aguilar,0.0707070707070707,Peru
2072,Bolivia,Aguilar,0.10096153846153848,Bolivia
2073,Chile,Aguilar,0.0,Chile
2071,Argentina,Aguilar,0.0,Argentina
2084,Paraguay,Aguilar,0.0,Paraguay
2088,Uruguay,Aguilar,0.0,Uruguay
2076,Cuba,Aguilar,0.04929577464788733,Cuba
2087,República Dominicana,Aguilar,0.0,Dominicana
2086,Puerto Rico,Aguilar,0.0,Puerto Rico
3012,México,Aguilera,0.0,Mexico
3010,Guatemala,Aguilera,0.0,Guatemala
3009,El Salvador,Aguilera,0.0,El Salvador
3011,Honduras,Aguilera,0.0,Honduras
3013,Nicaragua,Aguilera,0.0,Nicaragua
3006,Costa Rica,Aguilera,0.0,Costa Rica
3014,Panamá,Aguilera,0.0,Panama
3005,Colombia,Aguilera,0.0,Colombia
3020,Venezuela,Aguilera,0.0,Venezuela
3008,Ecuador,Aguilera,0.0,Ecuador
3016,Perú,Aguilera,0.0,Peru
