País,,Apellido,y
Argentina,0,Gonzalez,0.31818181818181823
Argentina,19,Rodriguez,0.2658227848101266
Argentina,38,Gomez,0.2413793103448276
Argentina,57,Fernandez,0.22580645161290325
Argentina,76,Lopez,0.21875
Bolivia,1901,Mamani,0.65625
Bolivia,305,Flores,0.4468085106382979
Bolivia,1920,Quispe,0.411764705882353
Bolivia,1939,Choque,0.27631578947368424
Bolivia,1084,Vargas,0.27272727272727276
Chile,2,Gonzalez,0.4375
Chile,914,Muñoz,0.33870967741935487
Chile,496,Rojas,0.24705882352941178
Chile,97,Diaz,0.2413793103448276
Chile,135,Perez,0.19090909090909092
Colombia,22,Rodriguez,0.39622641509433965
Colombia,117,Martinez,0.30434782608695654
Colombia,155,Garcia,0.2837837837837838
Colombia,41,Gomez,0.28
Colombia,79,Lopez,0.28
Costa Rica,23,Rodriguez,0.4772727272727273
Costa Rica,1087,Vargas,0.411764705882353
Costa Rica,2322,Jimenez,0.39622641509433965
Costa Rica,4241,Mora,0.3888888888888889
Costa Rica,498,Rojas,0.3559322033898305
Cuba,24,Rodriguez,1.0
Cuba,5,Gonzalez,0.8076923076923078
Cuba,138,Perez,0.8076923076923078
Cuba,1392,Hernandez,0.7000000000000001
Cuba,157,Garcia,0.5526315789473685
Ecuador,158,Garcia,0.2530120481927711
Ecuador,177,Sanchez,0.25
Ecuador,5934,Zambrano,0.2210526315789474
Ecuador,82,Lopez,0.21212121212121215
Ecuador,25,Rodriguez,0.19626168224299065
El Salvador,1394,Hernandez,0.8076923076923078
El Salvador,121,Martinez,0.6363636363636365
El Salvador,83,Lopez,0.4772727272727273
El Salvador,159,Garcia,0.4468085106382979
El Salvador,26,Rodriguez,0.3620689655172414
Guatemala,84,Lopez,0.9545454545454546
Guatemala,141,Perez,0.5833333333333334
Guatemala,160,Garcia,0.5384615384615384
Guatemala,1395,Hernandez,0.4772727272727273
Guatemala,692,Morales,0.3620689655172414
Honduras,1396,Hernandez,0.6363636363636365
Honduras,85,Lopez,0.5833333333333334
Honduras,123,Martinez,0.5526315789473685
Honduras,28,Rodriguez,0.48837209302325585
Honduras,161,Garcia,0.4375
México,1397,Hernandez,0.8400000000000001
México,162,Garcia,0.6
México,124,Martinez,0.5675675675675677
México,86,Lopez,0.525
México,10,Gonzalez,0.4772727272727273
Nicaragua,87,Lopez,0.7777777777777778
Nicaragua,125,Martinez,0.525
Nicaragua,163,Garcia,0.5121951219512195
Nicaragua,11,Gonzalez,0.5
Nicaragua,1398,Hernandez,0.48837209302325585
Panamá,12,Gonzalez,0.7777777777777778
Panamá,31,Rodriguez,0.7777777777777778
Panamá,183,Sanchez,0.375
Panamá,126,Martinez,0.3559322033898305
Panamá,829,Castillo,0.34426229508196726
Paraguay,13,Gonzalez,0.7777777777777778
Paraguay,336,Benitez,0.5675675675675677
Paraguay,127,Martinez,0.48837209302325585
Paraguay,89,Lopez,0.375
Paraguay,450,Gimenez,0.2692307692307692
Perú,1933,Quispe,0.38181818181818183
Perú,318,Flores,0.23595505617977527
Perú,185,Sanchez,0.20792079207920794
Perú,166,Garcia,0.20000000000000004
Perú,33,Rodriguez,0.19444444444444445
Puerto Rico,186,Sanchez,0.75
Puerto Rico,2542,Rivera,0.6774193548387097
Puerto Rico,110,Diaz,0.6363636363636365
Puerto Rico,34,Rodriguez,0.6
Puerto Rico,6266,Narvaez,0.42000000000000004
República Dominicana,35,Rodriguez,0.5121951219512195
República Dominicana,149,Perez,0.4468085106382979
República Dominicana,130,Martinez,0.34426229508196726
República Dominicana,168,Garcia,0.328125
República Dominicana,187,Sanchez,0.2876712328767123
Uruguay,36,Rodriguez,0.65625
Uruguay,17,Gonzalez,0.4565217391304348
Uruguay,131,Martinez,0.3333333333333333
Uruguay,74,Fernandez,0.2837837837837838
Uruguay,150,Perez,0.2658227848101266
Venezuela,18,Gonzalez,0.6176470588235294
Venezuela,37,Rodriguez,0.5384615384615384
Venezuela,151,Perez,0.3888888888888889
Venezuela,1405,Hernandez,0.3684210526315789
Venezuela,170,Garcia,0.33870967741935487
